Abactochromis labrosus|||9,0|12,0|200|7,5|8,5|10|20|24|29
Aborichthys elongatus|||7,0|9,0|80|6,0|7,5|1|10|20|26
Aborichthys garoensis|Loche de Garo||3,5|4,5|80|6,5|7,5|1|8|20|24
Abramis brama|Brème commune|expert|20,0|80,0|1500|6,0|8,5|5|30|8|26
Abramites hypselonotus|Abramite microcéphale||14,0|18,0|450|5,5|7,0|3|15|23|27
Acanthicus adonis|Silure adonis||30,0|100,0|1500|6,0|7,0|1|10|24|29
Acanthicus hystrix|L155||60,0|73,0|1500|6,0|7,5|1|20|23|30
Acanthocobitis botia|Loche plate|débutant|10,0|12,0|200|6,5|7,5|5|25|23|26
Acanthocobitis pictilis||expert|8,0|9,0|200|6,0|7,0|3|8|24|26
Acanthocobitis urophthalmus||débutant|3,5|5,0|50|6,0|7,5|1|12|18|25
Acanthocobitis zonalternans|||7,0|8,0|120|6,5|7,5|5|15|24|26
Acanthodoras cataphractus|Silure cataphracte||10,0|20,0|300|5,5|7,5|3|12|22|26
Acanthodoras depressus|||7,5|8,5|120|6,0|7,5|3|12|23|27
Acanthodoras spinosissimus|Silure parleur||13,0|18,0|300|6,0|7,5|3|15|22|27
Acantopsis dialuzona|Loche à tête de cheval|débutant|20,0|30,0|450|6,0|8,0|1|25|16|24
Acapoeta tanganicae||expert|40,0|60,0|1500|6,5|8,5|5|30|22|29
Acarichthys heckelii|Acara de Heckel||14,0|20,0|450|5,5|7,5|5|15|24|30
Acaronia nassa|Cichlidé à grands yeux||13,0|25,0|450|5,5|7,5|1|15|25|28
Acaronia vultuosa|||10,0|13,0|300|6,0|7,5|2|20|25|28
Acestridium dichromum|||5,5|6,5|80|5,0|6,5|1|5|23|28
Acheilognathus meridianus|||8,0|11,0|200|5,5|7,5|3|12|18|25
Achirus achirus|Sole sombre|expert|25,0|40,0|800|7,5|8,5|20|30|25|28
Achirus lineatus|Sole achire|expert|17,0|23,0|800|7,0|8,5|15|30|23|27
Acipenser baerii|Baeri, esturgeon de Sibérie, sturia|expert|100,0|200,0|6000|7,0|7,5|5|20|1|20
Acipenser gueldenstaedtii|Osciètre, Esturgeon du Danube|expert|140,0|240,0|6000|6,5|8,0|8|30|10|20
Acipenser ruthenus|Esturgeon de Sibérie, Sterlet|expert|40,0|125,0|1500|6,5|8,0|5|20|1|20
Acipenser stellatus|Esturgeon étoilé, Sevruga|expert|125,0|220,0|6000|6,0|8,5|3|30|10|20
Acipenser sturio|Esturgeon européen, Esturgeon commun|expert|165,0|600,0|6000|7,0|8,5|10|30|8|18
Acipenser transmontanus|Esturgeon blanc|expert|200,0|600,0|6000|7,0|8,5|15|30|1|23
Acnodon normani|Pacu brebis||12,0|18,0|450|5,5|7,5|1|10|21|29
Acrossocheilus beijiangensis|Barbeau à lèvres épaisses||11,0|13,1|||||||
Acrossocheilus paradoxus|||11,0|20,0|||||||
Aequidens diadema|Acara diadème|débutant|9,0|12,0|200|6,0|7,5|1|15|23|28
Aequidens epae|||9,0|12,0|||||||
Aequidens hoehnei||débutant|5,0|10,0|80|6,5|7,5|8|20|18|30
Aequidens metae|Acara jaune||12,0|16,0|200|5,0|6,5|1|8|24|28
Aequidens michaeli||débutant|13,0|20,0|450|5,5|7,0|1|10|24|35
Aequidens pallidus|Acara à double tache||11,0|15,0|200|6,0|7,5|3|8|22|29
Aequidens patricki|||11,0|15,0|200|5,5|6,5|1|5|21|24
Aequidens rondoni|||8,0|10,0|200|5,0|6,5|1|8|24|28
Aequidens tetramerus|Acara vert||15,0|18,0|450|5,0|7,5|1|12|24|27
Agamyxis albomaculatus|Poisson-chat fouet||12,0|16,0|200|5,5|7,5|1|15|20|26
Agamyxis pectinifrons|Silure à bandes blanches||14,0|16,0|200|5,5|7,5|1|12|20|26
Ageneiosus magoi|||14,0|18,0|||||||
Akysis hendricksoni||expert|4,0|5,0|80|6,0|7,5|1|8|17|24
Akysis longifilis|||4,8|5,3|50|5,5|7,5|5|15|16|24
Alburnoides bipunctatus|Spirlin|expert|8,0|18,0|300|||||10|18
Alcolapia alcalica|Cichlidé de soude|expert|10,0|12,0|300|8,0|9,0|25|30|28|38
Alestopetersius brichardi|Tétra rouge cerise||6,0|8,0|200|5,0|7,0|3|8|22|26
Alestopetersius caudalis|Tétra africain à queue jaune||5,0|6,2|120|5,0|7,5|3|20|22|26
Alestopetersius nigropterus|||5,0|6,5|200|5,0|7,0|3|10|22|26
Alestopetersius smykalai|Tétra diamant bleu||5,0|6,0|80|5,0|7,0|3|12|22|26
Alfaro cultratus|||6,0|8,0|120|6,0|8,0|8|30|23|28
Alfaro huberi|Poisson couteau de Huber||5,0|7,0|120|6,0|8,0|3|10|24|28
Allodontichthys hubbsi|||5,0|6,0|80|7,0|7,5|5|20|18|28
Allodontichthys polylepis||expert|4,0|5,0|50|7,0|7,5|5|15|21|25
Allotoca dugesii||expert|6,0|8,0|80|7,0|8,0|8|20|20|24
Allotoca goslinei|||3,0|5,0|120|7,0|7,5|5|12|16|28
Altolamprologus calvus|Cichlidé chauve||10,0|14,0|300|7,5|9,0|8|30|24|27
Altolamprologus compressiceps|Cichlidé comprimé|débutant|10,0|15,0|300|7,5|9,0|8|30|24|28
Amatitlania altoflava|||8,0|9,0|300|6,5|7,5|3|8|23|28
Amatitlania kanna|||8,0|9,0|120|7,0|7,5|10|25|23|27
Amatitlania myrnae|||7,0|10,0|120|7,0|8,5|15|30|23|26
Amatitlania nanolutea||expert|4,5|6,5|80|7,0|8,0|8|20|22|27
Amatitlania nigrofasciata|Cichlidé zèbre|débutant|8,0|12,0|120|7,0|8,0|10|20|20|36
Amatitlania sajica|Sajica, cichlidé à barre en T|débutant|8,0|12,0|120|6,5|7,5|5|20|22|30
Amatitlania septemfasciata|Cichlidé à sept bandes||10,0|13,0|200|6,5|7,5|5|15|21|27
Amatitlania siquia|Cichlidé avocat||7,0|9,5|120|7,0|8,5|10|30|22|28
Ambassis interrupta|Perche de verre à longues épines|expert|7,0|10,5|200|7,0|8,0|8|30|26|32
Ambastaia nigrolineata|Loche à lignes noires|expert|6,0|8,0|120|6,5|7,5|3|10|15|25
Ambastaia sidthimunki|Loche naine, Botia sidthimunki||4,5|5,5|120|6,0|7,5|3|12|22|30
Amblydoras nauticus|Poisson-chat épineux||6,0|7,5|200|5,0|7,5|3|15|23|27
Ameca splendens|Améca brillante||8,0|12,0|120|6,5|8,0|10|30|23|29
Ameiurus catus|Poisson-chat blanc||30,0|95,0|||||||
Ameiurus melas|Poisson-chat commun, Barbotte noire|expert|25,0|60,0|1500|5,5|8,0|3|25|8|30
Ameiurus nebulosus|Barbotte brune||25,0|55,0|||||||
Amia calva|Poisson-castor|expert|60,0|90,0|1500|6,0|7,5|5|25|15|24
Ammocryptocharax elegans|Characin caméléon||2,8|3,3|20|5,0|6,5|1|5|23|27
Amphilophus amarillo|||14,0|20,0|450|6,0|7,5|5|12|24|29
Amphilophus citrinellus|Citrinellum||20,0|25,0|1500|7,0|8,0|10|30|23|33
Amphilophus hogaboomorum||expert|20,0|33,0|800|7,0|8,5|5|25|25|34
Amphilophus istlanus||expert|20,0|30,0|800|7,0|8,0|5|15|26|32
Amphilophus trimaculatus||expert|25,0|36,0|1500|6,5|7,0|3|8|25|30
Amphilophus xiloaensis|||14,0|16,0|450|6,0|7,5|5|12|23|27
Amphilophus zaliosus|||18,0|22,0|450|6,0|7,5|5|12|23|28
Anabas testudineus|Perche grimpeuse||12,0|25,0|450|6,5|8,0|3|20|22|30
Anableps anableps|Quatre-yeux||12,0|28,0|1500|7,0|8,0|10|20|23|28
Anablepsoides lineasoppilatae|||3,3|4,1|20|6,0|7,0|3|8|22|26
Ancistrus cirrhosus|Poisson-chat poilu|débutant|7,0|8,9|120|5,5|7,5|1|10|18|30
